# ACTS Test Suite Generation: Fri Dec 08 05:18:13 EST 2017
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 5
# Maximum number of values per parameter: 11
# Number of configurations: 121
Nickel,Dime,Quarter,Half,Soda
0n,0d,1q,1h,juice
0n,1d,2q,2h,sprite
0n,2d,3q,3h,coke
0n,3d,4q,4h,pepsi
0n,4d,5q,5h,water
0n,5d,6q,6h,juice
0n,6d,7q,7h,sprite
0n,7d,8q,8h,coke
0n,8d,9q,9h,pepsi
0n,9d,10q,10h,water
0n,10d,0q,0h,juice
1n,0d,2q,3h,pepsi
1n,1d,3q,4h,water
1n,2d,4q,5h,sprite
1n,3d,5q,6h,coke
1n,4d,6q,7h,pepsi
1n,5d,7q,8h,water
1n,6d,8q,9h,juice
1n,7d,9q,10h,sprite
1n,8d,10q,0h,coke
1n,9d,0q,1h,pepsi
1n,10d,1q,2h,water
2n,0d,3q,5h,juice
2n,1d,4q,6h,coke
2n,2d,5q,7h,pepsi
2n,3d,6q,8h,sprite
2n,4d,7q,9h,coke
2n,5d,8q,10h,pepsi
2n,6d,9q,0h,water
2n,7d,10q,1h,juice
2n,8d,0q,2h,sprite
2n,9d,1q,3h,sprite
2n,10d,2q,4h,coke
3n,0d,4q,7h,water
3n,1d,5q,8h,juice
3n,2d,6q,9h,water
3n,3d,7q,10h,juice
3n,4d,8q,0h,sprite
3n,5d,9q,1h,coke
3n,6d,10q,2h,pepsi
3n,7d,0q,3h,water
3n,8d,1q,4h,juice
3n,9d,2q,5h,coke
3n,10d,3q,6h,pepsi
4n,0d,5q,9h,sprite
4n,1d,6q,10h,coke
4n,2d,7q,0h,pepsi
4n,3d,8q,1h,water
4n,4d,9q,2h,juice
4n,5d,10q,3h,sprite
4n,6d,0q,4h,coke
4n,7d,1q,5h,pepsi
4n,8d,2q,6h,water
4n,9d,3q,7h,juice
4n,10d,4q,8h,sprite
5n,0d,6q,0h,coke
5n,1d,7q,1h,pepsi
5n,2d,8q,2h,juice
5n,3d,9q,3h,sprite
5n,4d,10q,4h,water
5n,5d,0q,5h,water
5n,6d,1q,6h,sprite
5n,7d,2q,7h,coke
5n,8d,3q,8h,pepsi
5n,9d,4q,9h,juice
5n,10d,5q,10h,coke
6n,0d,7q,2h,coke
6n,1d,8q,3h,juice
6n,2d,9q,4h,sprite
6n,3d,10q,5h,water
6n,4d,0q,6h,pepsi
6n,5d,1q,7h,coke
6n,6d,2q,8h,juice
6n,7d,3q,9h,sprite
6n,8d,4q,10h,pepsi
6n,9d,5q,0h,sprite
6n,10d,6q,1h,sprite
7n,0d,8q,4h,water
7n,1d,9q,5h,pepsi
7n,2d,10q,6h,juice
7n,3d,0q,7h,coke
7n,4d,1q,8h,sprite
7n,5d,2q,9h,water
7n,6d,3q,10h,coke
7n,7d,4q,0h,juice
7n,8d,5q,1h,juice
7n,9d,6q,2h,pepsi
7n,10d,7q,3h,pepsi
8n,0d,9q,6h,water
8n,1d,10q,7h,pepsi
8n,2d,0q,8h,juice
8n,3d,1q,9h,coke
8n,4d,2q,10h,sprite
8n,5d,3q,0h,sprite
8n,6d,4q,1h,sprite
8n,7d,5q,2h,coke
8n,8d,6q,3h,sprite
8n,9d,7q,4h,water
8n,10d,8q,5h,pepsi
9n,0d,10q,8h,water
9n,1d,0q,9h,pepsi
9n,2d,1q,10h,juice
9n,3d,2q,0h,coke
9n,4d,3q,1h,sprite
9n,5d,4q,2h,pepsi
9n,6d,5q,3h,water
9n,7d,6q,4h,juice
9n,8d,7q,5h,water
9n,9d,8q,6h,coke
9n,10d,9q,7h,coke
10n,0d,0q,10h,water
10n,1d,1q,0h,pepsi
10n,2d,2q,1h,juice
10n,3d,3q,2h,coke
10n,4d,4q,3h,sprite
10n,5d,5q,4h,pepsi
10n,6d,6q,5h,sprite
10n,7d,7q,6h,sprite
10n,8d,8q,7h,water
10n,9d,9q,8h,coke
10n,10d,10q,9h,sprite
